image_id,object_index,raw_name,reason_code,detail
40777073/1116.051,,,NO_OBJECTS_IN_VIEW,
40777073/1119.966,,,NO_OBJECTS_IN_VIEW,
40777073/1123.864,,,NO_OBJECTS_IN_VIEW,
40777073/1135.560,,,NO_OBJECTS_IN_VIEW,
40958756/1630.997,,,NO_OBJECTS_IN_VIEW,
40958756/1632.979,,,NO_OBJECTS_IN_VIEW,
40958756/1634.979,,,NO_OBJECTS_IN_VIEW,
40958756/1637.078,,,NO_OBJECTS_IN_VIEW,
40958756/1639.077,,,NO_OBJECTS_IN_VIEW,
40958756/1641.076,,,NO_OBJECTS_IN_VIEW,
40958756/1643.175,,,NO_OBJECTS_IN_VIEW,
40958756/1645.175,,,NO_OBJECTS_IN_VIEW,
40958767/2114.676,,,NO_OBJECTS_IN_VIEW,
40958767/2130.969,,,NO_OBJECTS_IN_VIEW,
40958767/2147.179,,,NO_OBJECTS_IN_VIEW,
40958767/2163.373,,,NO_OBJECTS_IN_VIEW,
41007582/1227.022,,,NO_OBJECTS_IN_VIEW,
41007582/1236.601,,,NO_OBJECTS_IN_VIEW,
41007582/1246.198,,,NO_OBJECTS_IN_VIEW,
41007582/1255.810,,,NO_OBJECTS_IN_VIEW,
41007582/1265.407,,,NO_OBJECTS_IN_VIEW,
41007582/1275.003,,,NO_OBJECTS_IN_VIEW,
41007582/1284.599,,,NO_OBJECTS_IN_VIEW,
41007582/1294.211,,,NO_OBJECTS_IN_VIEW,
41007591/2614.054,,,NO_OBJECTS_IN_VIEW,
41007591/2618.336,,,NO_OBJECTS_IN_VIEW,
41007591/2622.734,,,NO_OBJECTS_IN_VIEW,
41007591/2627.032,,,NO_OBJECTS_IN_VIEW,
41007591/2631.430,,,NO_OBJECTS_IN_VIEW,
41007591/2635.829,,,NO_OBJECTS_IN_VIEW,
41007591/2640.127,,,NO_OBJECTS_IN_VIEW,
41048071/4402.911,,,NO_OBJECTS_IN_VIEW,
41048071/4425.019,,,NO_OBJECTS_IN_VIEW,
41048071/4447.210,,,NO_OBJECTS_IN_VIEW,
41048071/4491.408,,,NO_OBJECTS_IN_VIEW,
41048142/1711.981,,,NO_OBJECTS_IN_VIEW,
41048142/1719.562,,,NO_OBJECTS_IN_VIEW,
41048142/1727.259,,,NO_OBJECTS_IN_VIEW,
41048142/1734.872,,,NO_OBJECTS_IN_VIEW,
41048142/1742.569,,,NO_OBJECTS_IN_VIEW,
41048142/1750.266,,,NO_OBJECTS_IN_VIEW,
41048142/1757.863,,,NO_OBJECTS_IN_VIEW,
