image_id,question_type,reason_code,detail
kv1/NYUdata/NYU0001,nearest_object,MARGIN_FAIL,counter
kv1/NYUdata/NYU0002,nearest_object,MARGIN_FAIL,refrigerator
kv1/NYUdata/NYU0002,nearest_object,MARGIN_FAIL,sink
kv1/NYUdata/NYU0004,nearest_object,MARGIN_FAIL,chair
kv1/NYUdata/NYU0005,nearest_object,MARGIN_FAIL,table
kv1/NYUdata/NYU0005,nearest_object,MARGIN_FAIL,whiteboard
kv1/NYUdata/NYU0007,nearest_object,NO_SINGLE_INSTANCE_ANCHOR,
kv1/NYUdata/NYU0009,nearest_object,MARGIN_FAIL,table
kv1/NYUdata/NYU0010,nearest_object,MARGIN_FAIL,trashcan
kv1/NYUdata/NYU0011,nearest_object,MARGIN_FAIL,counter
kv1/NYUdata/NYU0011,nearest_object,MARGIN_FAIL,box
kv1/NYUdata/NYU0011,nearest_object,MARGIN_FAIL,shelf
kv1/NYUdata/NYU0014,nearest_object,MARGIN_FAIL,paper
kv1/NYUdata/NYU0014,nearest_object,MARGIN_FAIL,picture
kv1/NYUdata/NYU0014,nearest_object,MARGIN_FAIL,blind
kv1/NYUdata/NYU0016,nearest_object,ANSWER_IN_QUESTION,bookshelf/book
kv1/NYUdata/NYU0017,nearest_object,MARGIN_FAIL,cabinet
kv1/NYUdata/NYU0017,nearest_object,MARGIN_FAIL,light
kv1/NYUdata/NYU0017,nearest_object,MARGIN_FAIL,curtain
kv1/NYUdata/NYU0019,nearest_object,MARGIN_FAIL,table
kv1/NYUdata/NYU0019,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0021,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0021,nearest_object,MARGIN_FAIL,clock
kv1/NYUdata/NYU0021,nearest_object,MARGIN_FAIL,sofa
kv1/NYUdata/NYU0022,nearest_object,MARGIN_FAIL,chair
kv1/NYUdata/NYU0022,nearest_object,MARGIN_FAIL,trashcan
kv1/NYUdata/NYU0022,nearest_object,MARGIN_FAIL,sofa
kv1/NYUdata/NYU0023,nearest_object,MARGIN_FAIL,sofa
kv1/NYUdata/NYU0025,nearest_object,MARGIN_FAIL,cabinet
kv1/NYUdata/NYU0027,nearest_object,MARGIN_FAIL,paper
kv1/NYUdata/NYU0030,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0032,nearest_object,MARGIN_FAIL,telephone
kv1/NYUdata/NYU0034,nearest_object,MARGIN_FAIL,cabinet
kv1/NYUdata/NYU0034,nearest_object,MARGIN_FAIL,chair
kv1/NYUdata/NYU0034,nearest_object,MARGIN_FAIL,box
kv1/NYUdata/NYU0036,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0038,nearest_object,MARGIN_FAIL,cabinet
kv1/NYUdata/NYU0039,nearest_object,MARGIN_FAIL,table
kv1/NYUdata/NYU0039,nearest_object,MARGIN_FAIL,telephone
kv1/NYUdata/NYU0039,nearest_object,MARGIN_FAIL,heater
kv1/NYUdata/NYU0041,nearest_object,MARGIN_FAIL,whiteboard
kv1/NYUdata/NYU0041,nearest_object,MARGIN_FAIL,monitor
kv1/NYUdata/NYU0042,nearest_object,MARGIN_FAIL,whiteboard
kv1/NYUdata/NYU0044,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0044,nearest_object,MARGIN_FAIL,mirror
kv1/NYUdata/NYU0044,nearest_object,MARGIN_FAIL,toilet
kv1/NYUdata/NYU0045,nearest_object,MARGIN_FAIL,cabinet
kv1/NYUdata/NYU0045,nearest_object,MARGIN_FAIL,toilet
kv1/NYUdata/NYU0045,nearest_object,MARGIN_FAIL,rug
kv1/NYUdata/NYU0046,nearest_object,MARGIN_FAIL,cabinet
kv1/NYUdata/NYU0046,nearest_object,MARGIN_FAIL,jar
kv1/NYUdata/NYU0046,nearest_object,MARGIN_FAIL,mirror
kv1/NYUdata/NYU0046,nearest_object,MARGIN_FAIL,toilet
kv1/NYUdata/NYU0047,nearest_object,MARGIN_FAIL,sink
kv1/NYUdata/NYU0047,nearest_object,MARGIN_FAIL,mirror
kv1/NYUdata/NYU0047,nearest_object,MARGIN_FAIL,showercurtain
kv1/NYUdata/NYU0047,nearest_object,MARGIN_FAIL,bathtub
kv1/NYUdata/NYU0047,nearest_object,MARGIN_FAIL,tissuebox
kv1/NYUdata/NYU0048,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0048,nearest_object,MARGIN_FAIL,mirror
kv1/NYUdata/NYU0048,nearest_object,MARGIN_FAIL,bathtub
kv1/NYUdata/NYU0049,nearest_object,MARGIN_FAIL,cabinet
kv1/NYUdata/NYU0049,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0049,nearest_object,MARGIN_FAIL,mirror
kv1/NYUdata/NYU0049,nearest_object,MARGIN_FAIL,toilet
kv1/NYUdata/NYU0049,nearest_object,MARGIN_FAIL,bathtub
kv1/NYUdata/NYU0050,nearest_object,MARGIN_FAIL,window
kv1/NYUdata/NYU0052,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0052,nearest_object,MARGIN_FAIL,lamp
kv1/NYUdata/NYU0053,nearest_object,MARGIN_FAIL,door
kv1/NYUdata/NYU0054,nearest_object,MARGIN_FAIL,microwave
kv1/NYUdata/NYU0054,nearest_object,MARGIN_FAIL,clothes
kv1/NYUdata/NYU0055,nearest_object,MARGIN_FAIL,bookshelf
kv1/NYUdata/NYU0055,nearest_object,MARGIN_FAIL,lamp
kv1/NYUdata/NYU0056,nearest_object,MARGIN_FAIL,blind
kv1/NYUdata/NYU0056,nearest_object,MARGIN_FAIL,pillow
kv1/NYUdata/NYU0057,nearest_object,MARGIN_FAIL,laptop
kv1/NYUdata/NYU0057,nearest_object,MARGIN_FAIL,tissuebox
kv1/NYUdata/NYU0059,nearest_object,MARGIN_FAIL,laptop
kv1/NYUdata/NYU0060,nearest_object,MARGIN_FAIL,curtain
kv1/NYUdata/NYU0061,nearest_object,MARGIN_FAIL,trashcan
kv1/NYUdata/NYU0061,nearest_object,MARGIN_FAIL,heater
kv1/NYUdata/NYU0061,nearest_object,MARGIN_FAIL,shoe
kv1/NYUdata/NYU0063,nearest_object,MARGIN_FAIL,monitor
kv1/NYUdata/NYU0063,nearest_object,MARGIN_FAIL,television
kv1/NYUdata/NYU0064,nearest_object,MARGIN_FAIL,sofa
kv1/NYUdata/NYU0065,nearest_object,NO_SINGLE_INSTANCE_ANCHOR,
kv1/NYUdata/NYU0066,nearest_object,MARGIN_FAIL,curtain
kv1/NYUdata/NYU0066,nearest_object,MARGIN_FAIL,clothes
kv1/NYUdata/NYU0066,nearest_object,MARGIN_FAIL,lamp
kv1/NYUdata/NYU0066,nearest_object,MARGIN_FAIL,dresser
kv1/NYUdata/NYU0067,nearest_object,MARGIN_FAIL,paper
kv1/NYUdata/NYU0067,nearest_object,MARGIN_FAIL,bag
kv1/NYUdata/NYU0067,nearest_object,MARGIN_FAIL,printer
kv1/NYUdata/NYU0067,nearest_object,MARGIN_FAIL,bookshelf
kv1/NYUdata/NYU0068,nearest_object,MARGIN_FAIL,clothes
kv1/NYUdata/NYU0069,nearest_object,ANSWER_IN_QUESTION,bookshelf/book
kv1/NYUdata/NYU0069,nearest_object,MARGIN_FAIL,clothes
kv1/NYUdata/NYU0069,nearest_object,MARGIN_FAIL,stuffedanimal
kv1/NYUdata/NYU0071,nearest_object,MARGIN_FAIL,window
kv1/NYUdata/NYU0071,nearest_object,MARGIN_FAIL,vase
kv1/NYUdata/NYU0073,nearest_object,MARGIN_FAIL,fan
kv1/NYUdata/NYU0075,nearest_object,MARGIN_FAIL,curtain
kv1/NYUdata/NYU0075,nearest_object,MARGIN_FAIL,dresser
kv1/NYUdata/NYU0077,nearest_object,MARGIN_FAIL,cabinet
